name,filiere,category,eicCode,plantId,reactorIndex,netPower_MW
PIED DE BORNE,Hydraulique lacs,HYDRAULICS,,PIED DE BORNE,-,109.4
Pont-sur-Sambre,Gaz,,PONT SUR SAMBRE,-,445
POUGET,Hydraulique lacs,HYDRAULICS,,POUGET,-,446.9
POUGET 4,Hydraulique lacs,HYDRAULICS,,POUGET,4,286
PRAGNERES,Hydraulique lacs,HYDRAULICS,,PRAGNERES,-,189.2
RANDENS,Hydraulique fil de l'eau / éclusée,,RANDENS,-,124
REVIN 1,Hydraulique STEP,,REVIN,1,202
REVIN 2,Hydraulique STEP,,REVIN,2,202
REVIN 3,Hydraulique STEP,,REVIN,3,202
REVIN 4,Hydraulique STEP,,REVIN,4,202
SAINT CHAMAS,Hydraulique lacs,HYDRAULICS,,SAINT CHAMAS,-,159
SAINT ESTEVE,Hydraulique lacs,HYDRAULICS,,SAINT ESTEVE,-,146
SAINT GUILLERME,Hydraulique lacs,HYDRAULICS,,SAINT GUILLERME,-,116
SAINT PIERRE COGNET,Hydraulique fil de l'eau / éclusée,,SAINT PIERRE COGNET,-,101
Saint_Avold_7,Gaz,,SAINT AVOLD,-,446
Saint_Avold_8,Gaz,,SAINT AVOLD,-,446
SAINTE CROIX,Hydraulique lacs,HYDRAULICS,,SAINTE CROIX,-,132.3
SARRANS,Hydraulique lacs,HYDRAULICS,,SARRANS,-,183
SAUSSAZ,Hydraulique fil de l'eau / éclusée,,SAUSSAZ,-,150
SERRE PONCON,Hydraulique lacs,HYDRAULICS,,SERRE PONCON,-,384
SISTERON 1,Hydraulique lacs,HYDRAULICS,,SISTERON,1,124
SISTERON 2,Hydraulique lacs,HYDRAULICS,,SISTERON,2,126
SPEM CCG,Gaz,,SPEM,-,435
SPEM pointe,Gaz,,SPEM,-,45
ST ALBAN 1,Nucléaire,NUCLEAR,,ST ALBAN,1,1335
ST ALBAN 2,Nucléaire,NUCLEAR,,ST ALBAN,2,1335
ST ETIENNE CANTALES,Hydraulique lacs,HYDRAULICS,,ST ETIENNE CANTALES,-,103.3
ST LAURENT 1,Nucléaire,NUCLEAR,,ST LAURENT,1,915
ST LAURENT 2,Nucléaire,NUCLEAR,,ST LAURENT,2,915
SUPER BISSORTE 1,Hydraulique STEP,,SUPER BISSORTE,1,152
SUPER BISSORTE 2,Hydraulique STEP,,SUPER BISSORTE,2,152
SUPER BISSORTE 3,Hydraulique STEP,,SUPER BISSORTE,3,152
SUPER BISSORTE 4,Hydraulique STEP,,SUPER BISSORTE,4,152
SUPER BISSORTE 5,Hydraulique STEP,,SUPER BISSORTE,5,162
TRICASTIN 1,Nucléaire,NUCLEAR,,TRICASTIN,1,915
TRICASTIN 2,Nucléaire,NUCLEAR,,TRICASTIN,2,915
TRICASTIN 3,Nucléaire,NUCLEAR,,TRICASTIN,3,915
TRICASTIN 4,Nucléaire,NUCLEAR,,TRICASTIN,4,915
VAIRES 1,Fioul,,VAIRES,1,181
VAIRES 2,Fioul,,VAIRES,2,179
VAIRES 3,Fioul,,VAIRES,3,182
VILLARODIN 1,Hydraulique lacs,HYDRAULICS,,VILLARODIN,1,182
VILLARODIN 2,Hydraulique lacs,HYDRAULICS,,VILLARODIN,2,182
VOUGLANS,Hydraulique lacs,HYDRAULICS,,VOUGLANS,-,285
