name,filiere,category,eicCode,plantId,reactorIndex,stage,thermalPower_MW,rawPower_MW,netPower_MW,buildStartDate,firstReactionDate,gridLinkDate,exploitationStartDate,moxAuthorizationDate,coolingTowerCount
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE SEYSSEL,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SEYSSEL,1,,,,13.5,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,VAUGRIS,1,,,,18,,,,,,
GROUPE 02 DE LA CENTRALE DE SAUVETERRE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SAUVETERRE,2,,,,33,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,AVIGNON,2,,,,30,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCAIRE,2,,,,35,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCHASTEL,2,,,,32,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOLLENE,2,,,,58,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOURG-LES-VALENCE,2,,,,30,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BREGNIER-CORDON,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BREGNIER-CORDON,1,,,,35,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BRENS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BRENS,2,,,,45,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CADEROUSSE,2,,,,30.9,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CHATEAUNEUF-DU-RHONE,2,,,,45.8,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE CHAUTAGNE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CHAUTAGNE,2,,,,45,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GENISSIAT,2,,,,65.1,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE GERVANS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GERVANS,2,,,,30,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,LOGIS-NEUF,2,,,,32,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,PIERRE-BENITE,2,,,,20,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE SABLONS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SABLONS,2,,,,40,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE SAULT-BRENAZ,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SAULT-BRENAZ,2,,,,22.3,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE SEYSSEL,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SEYSSEL,2,,,,13.5,,,,,,
GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,VAUGRIS,2,,,,18,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,AVIGNON,3,,,,30,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCAIRE,3,,,,35,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCHASTEL,3,,,,32,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOLLENE,3,,,,58.4,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOURG-LES-VALENCE,3,,,,30,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CADEROUSSE,3,,,,30.9,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CHATEAUNEUF-DU-RHONE,3,,,,46,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GENISSIAT,3,,,,66.2,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE GERVANS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GERVANS,3,,,,30,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,LOGIS-NEUF,3,,,,31.9,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,PIERRE-BENITE,3,,,,20,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE SABLONS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SABLONS,3,,,,40,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE SEYSSEL,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SEYSSEL,3,,,,13.5,,,,,,
GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,VAUGRIS,3,,,,18,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,AVIGNON,4,,,,30,,,,,,
